"Hole Angular Displacement"
"Time (sec)","Angular Displacement1 (deg)"
0,1.38106958159359
0.005,-1.57093041840641
0.01,-4.52293041840641
0.015,-7.47493041840641
0.02,-10.4269304184064
0.025,-13.3789304184064
0.03,-16.3309304184064
0.035,-19.2829304184064
0.04,-22.2349304184064
0.045,-25.1869304184064
0.05,-28.1389304184064
0.055,-31.0909304184064
0.06,-34.0429304184064
0.065,-36.9949304184064
0.07,-39.9469304184064
0.075,-42.8989304184064
0.08,-45.8509304184064
0.085,-48.8029304184064
0.09,-51.7549304184064
0.095,-54.7069304184064
0.1,-57.6589304184064
0.105,-60.6109304184064
0.11,-63.5629304184064
0.115,-66.5149304184064
0.12,-69.4669304184064
0.125,-72.4189304184064
0.13,-75.3709304184064
0.135,-78.3229304184064
0.14,-81.2749304184064
0.145,-84.2269304184064
0.15,-87.1789304184064
0.155,-90.1309304184064
0.16,-93.0829304184064
0.165,-96.0349304184064
0.17,-98.9869304184064
0.175,-101.938930418406
0.18,-104.890930418406
0.185,-107.842930418406
0.19,-110.794930418406
0.195,-113.746930418406
0.2,-116.698930418406
0.205,-119.650930418406
0.21,-122.602930418406
0.215,-125.554930418406
0.22,-128.506930418406
0.225,-131.458930418406
0.23,-134.410930418406
0.235,-137.362930418406
0.24,-140.314930418406
0.245,-143.266930418406
0.25,-146.218930418406
0.255,-149.170930418406
0.26,-152.122930418406
0.265,-155.074930418406
0.27,-158.026930418406
0.275,-160.978930418406
0.28,-163.930930418406
0.285,-166.882930418406
0.29,-169.834930418406
0.295,-172.786930418406
0.3,-175.738930418406
0.305,-178.690930418406
0.31,178.357069581594
0.315,175.405069581594
0.32,172.453069581594
0.325,169.501069581594
0.33,166.549069581594
0.335,163.597069581594
0.34,160.645069581594
0.345,157.693069581593
0.35,154.741069581593
0.355,151.789069581593
0.36,148.837069581593
0.365,145.885069581593
0.37,142.933069581593
0.375,139.981069581593
0.38,137.029069581593
0.385,134.077069581593
0.39,131.125069581593
0.395,128.173069581593
0.4,125.221069581593
0.405,122.269069581593
0.41,119.317069581593
0.415,116.365069581593
0.42,113.413069581593
0.425,110.461069581593
0.43,107.509069581593
0.435,104.557069581593
0.44,101.605069581593
0.445,98.6530695815935
0.45,95.7010695815935
0.455,92.7490695815935
0.46,89.7970695815935
0.465,86.8450695815935
0.47,83.8930695815935
0.475,80.9410695815935
0.48,77.9890695815935
0.485,75.0370695815935
0.49,72.0850695815935
0.495,69.1330695815936
0.5,66.1810695815936
0.505,63.2290695815936
0.51,60.2770695815936
0.515,57.3250695815936
0.52,54.3730695815936
0.525,51.4210695815936
0.53,48.4690695815936
0.535,45.5170695815936
0.54,42.5650695815937
0.545,39.6130695815937
0.55,36.6610695815937
