"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
1.26999999999999,-40.5783715433968
1.27499999999999,-40.8312009999355
1.27999999999999,-41.0768227145916
1.28499999999999,-41.3145242591564
1.28999999999999,-41.5436117609792
1.29499999999999,-41.763412415804
1.29999999999999,-41.9732769629044
1.30499999999999,-42.1725821085547
1.30999999999999,-42.3607328839324
1.31499999999999,-42.5371649237253
1.31999999999999,-42.7013466520129
1.32499999999999,-42.8527813623927
1.32999999999999,-42.9910091798403
1.33499999999999,-43.1156088924067
1.33999999999999,-43.2261996415693
1.34499999999999,-43.3224424608576
1.34999999999999,-43.4040416532582
1.35499999999999,-43.4707459988666
1.35999999999999,-43.5223497852768
1.36499999999999,-43.5586936542878
1.36999999999999,-43.5796652596353
1.37499999999999,-43.5851997316363
1.37999999999999,-43.575279945833
1.38499999999999,-43.5499365939533
1.38999999999999,-43.5092480567431
1.39499999999999,-43.4533400794668
1.39999999999999,-43.3823852521105
1.40499999999999,-43.296602297544
1.40999999999999,-43.196255172092
1.41499999999999,-43.0816519841317
1.41999999999999,-42.9531437374515
1.42499999999999,-42.8111229071764
1.42999999999999,-42.6560218570736
1.43499999999999,-42.4883111079919
1.43999999999999,-42.308497468051
1.44499999999999,-42.1171220359767
1.44999999999999,-41.9147580896622
1.45499999999999,-41.7020088726245
1.45999999999999,-41.4795052915115
1.46499999999999,-41.2479035381836
1.46999999999999,-41.0078826501619
1.47499999999999,-40.7601420233726
1.47999999999999,-40.5053988911499
1.48499999999999,-40.2443857833611
1.48999999999999,-39.9778479793127
1.49499999999999,-39.7065409677642
1.49999999999999,-39.4312279269423
1.50499999999999,-39.1526772368978
1.50999999999999,-38.8716600359027
1.51499999999999,-38.5889478318433
1.51999999999999,-38.305310178741
1.52499999999999,-38.021512427632
1.52999999999999,-37.7383135600763
1.53499999999999,-37.4564641115552
1.53999999999999,-37.1767041909597
1.54499999999999,-36.8997616013026
1.54999999999999,-36.6263500656937
1.55499999999999,-36.3571675615304
1.55999999999999,-36.0928947647872
1.56499999999999,-35.8341936052352
1.56999999999999,-35.5817059324228
1.57499999999999,-35.3360522912854
1.57999999999999,-35.0978308053617
1.58499999999999,-34.8676161647634
1.58999999999999,-34.6459587152968
1.59499999999999,-34.4333836444717
1.59999999999999,-34.2303902595543
1.60499999999999,-34.0374513523391
1.60999999999999,-33.8550126449285
1.61499999999999,-33.6834923105179
1.61999999999999,-33.52328056299
1.62499999999999,-33.3747393090266
1.62999999999999,-33.238201856439
1.63499999999999,-33.1139726725066
1.63999999999999,-33.0023271862829
1.64499999999999,-32.9035116290818
1.64999999999999,-32.8177429076853
1.65499999999999,-32.7452085052095
1.65999999999999,-32.6860664050288
1.66499999999999,-32.6404450336712
1.66999999999999,-32.6084432191639
1.67499999999999,-32.5901301619135
1.67999999999999,-32.5855454158454
1.68499999999999,-32.5946988781919
1.68999999999999,-32.6175707870014
1.69499999999999,-32.6541117261371
1.69999999999999,-32.7042426382289
1.70499999999999,-32.7678548467343
1.70999999999999,-32.8448100889426
1.71499999999999,-32.9349405624134
1.71999999999999,-33.0380489879726
1.72499999999999,-33.1539086929769
1.72999999999999,-33.2822637191129
1.73499999999998,-33.4228289594899
1.73999999999998,-33.5752903302289
1.74499999999998,-33.7393049821246
1.74999999999998,-33.9145015582591
1.75499999999998,-34.1004805036748
1.75999999999998,-34.296814433356
1.76499999999998,-34.5030485648255
1.76999999999998,-34.7187012216268
1.77499999999998,-34.9432644138345
1.77999999999998,-35.1762045015093
1.78499999999998,-35.4169629466901
1.78999999999998,-35.6649571591002
1.79499999999998,-35.9195814402268
1.79999999999998,-36.1802080298291
1.80499999999998,-36.4461882582355
1.80999999999998,-36.7168538070153
1.81499999999998,-36.9915180797594
1.81999999999998,-37.2694776837859
1.82499999999998,-37.5500140226148
1.82999999999998,-37.8323949980313
1.83499999999998,-38.1158768195036
1.83999999999998,-38.3997059176409
1.84499999999998,-38.6831209572882
1.84999999999998,-38.9653549447683
1.85499999999998,-39.2456374227118
1.85999999999998,-39.5231967448765
1.86499999999998,-39.7972624223592
1.86999999999998,-40.0670675316615
1.87499999999998,-40.3318511741951
1.87999999999998,-40.5908609760141
1.88499999999998,-40.8433556158532
1.88999999999998,-41.0886073689316
1.89499999999998,-41.3259046534769
1.89999999999998,-41.5545545665168
1.90499999999998,-41.7738853951993
1.90999999999998,-41.9832490897326
1.91499999999998,-42.1820236839782
1.91999999999998,-42.3696156498025
1.92499999999998,-42.5454621714693
1.92999999999998,-42.709033326661
1.93499999999998,-42.8598341611212
1.93999999999998,-42.9974066444364
1.94499999999998,-43.1213314950914
1.94999999999998,-43.231229863653
1.95499999999998,-43.3267648637441
1.95999999999998,-43.4076429413581
1.96499999999998,-43.4736150740292
1.96999999999998,-43.5244777924017
1.97499999999998,-43.5600740178319
1.97999999999998,-43.5802937107864
1.98499999999998,-43.5850743259837
1.98999999999998,-43.5744010714237
1.99499999999998,-43.548306969684
1.99999999999998,-43.5068727210973
2.00499999999998,-43.4502263696683
2.00999999999998,-43.3785427738238
2.01499999999998,-43.2920428853107
2.01999999999998,-43.1909928407512
2.02499999999998,-43.0757028715269
2.02999999999998,-42.9465260387803
2.03499999999998,-42.8038568013906
2.03999999999998,-42.6481294257836
2.04499999999998,-42.4798162473747
2.04999999999998,-42.2994257942994
2.05499999999998,-42.1075007848644
2.05999999999998,-41.9046160108301
2.06499999999998,-41.6913761192194
2.06999999999998,-41.4684133058286
2.07499999999998,-41.2363849339817
2.07999999999998,-40.9959710923269
2.08499999999998,-40.7478721056122
2.08999999999998,-40.4928060123975
2.09499999999998,-40.2315060235625
2.09999999999998,-39.9647179752523
2.10499999999998,-39.6931977895731
2.10999999999998,-39.4177089559015
2.11499999999998,-39.1390200451243
2.11999999999998,-38.8579022684707
2.12499999999998,-38.5751270918545
2.12999999999998,-38.291463915815
2.13499999999998,-38.0076778302435
2.13999999999998,-37.7245274521182
2.14499999999998,-37.4427628534523
2.14999999999998,-37.1631235856109
2.15499999999998,-36.886336805073
2.15999999999998,-36.6131155046247
2.16499999999998,-36.3441568528872
2.16999999999998,-36.0801406440046
2.17499999999998,-35.8217278582799
2.17999999999998,-35.5695593335363
2.18499999999998,-35.3242545460303
2.18999999999998,-35.0864104988503
2.19499999999998,-34.85660071491
2.19999999999998,-34.6353743309002
2.20499999999998,-34.4232552879042
2.20999999999998,-34.2207416138079
2.21499999999997,-34.0283047921587
2.21999999999997,-33.8463892117452
2.22499999999997,-33.6754116908832
2.22999999999997,-33.5157610702069
2.23499999999997,-33.3677978676681
2.23999999999997,-33.2318539894493
2.24499999999997,-33.1082324905857
2.24999999999997,-32.9972073792651
2.25499999999997,-32.8990234590346
2.25999999999997,-32.8138962034706
2.26499999999997,-32.7420116582736
2.26999999999997,-32.683526366207
2.27499999999997,-32.6385673108238
2.27999999999997,-32.6072318754857
2.28499999999997,-32.5895878147917
2.28999999999997,-32.5856732361712
2.29499999999997,-32.5954965900641
2.29999999999997,-32.6190366677956
2.30499999999997,-32.6562426069465
2.30999999999997,-32.7070339047168
2.31499999999997,-32.7713004404726
2.31999999999997,-32.8489025093421
2.32499999999997,-32.9396708693855
2.32999999999997,-33.0434068054876
2.33499999999997,-33.1598822137171
2.33999999999997,-33.2888397104395
2.34499999999997,-33.4299927709691
2.34999999999997,-33.5830259029806
2.35499999999997,-33.747594860274
2.35999999999997,-33.9233269027847
2.36499999999997,-34.1098211089549
2.36999999999997,-34.3066487467206
2.37499999999997,-34.5133537094213
2.37999999999997,-34.729453022899
2.38499999999997,-34.9544374299189
2.38999999999997,-35.1877720578171
2.39499999999997,-35.4288971749476
2.39999999999997,-35.677229041084
2.40499999999997,-35.9321608564061
2.40999999999997,-36.193063813097
2.41499999999997,-36.4592882528732
2.41999999999997,-36.7301649329945
2.42499999999997,-37.0050064024445
2.42999999999997,-37.2831084890513
2.43499999999997,-37.5637518973436
2.43999999999997,-37.8462039159117
2.44499999999997,-38.1297202319857
2.44999999999997,-38.4135468498654
2.45499999999997,-38.6969221087432
2.45999999999997,-38.9790787943795
2.46499999999997,-39.2592463380198
2.46999999999997,-39.5366530949033
2.47499999999997,-39.8105286937209
2.47999999999997,-40.0801064474387
2.48499999999997,-40.3446258150317
2.48999999999997,-40.6033349028794
2.49499999999997,-40.8554929938674
2.49999999999997,-41.1003730916316
2.50499999999997,-41.3372644668728
2.50999999999997,-41.5654751922752
2.51499999999997,-41.7843346522786
2.51999999999997,-41.9931960137878
2.52499999999997,-42.191438643857
2.52999999999997,-42.3784704604557
2.53499999999997,-42.5537302026165
2.53999999999997,-42.7166896065635
2.54499999999997,-42.8668554748429
2.54999999999997,-43.003771625997
2.55499999999997,-43.1270207129516
2.55999999999997,-43.2362258990078
2.56499999999997,-43.3310523811421
2.56999999999997,-43.4112087512094
2.57499999999997,-43.4764481866146
2.57999999999997,-43.5265694630467
2.58499999999997,-43.5614177829629
2.58999999999997,-43.5808854146444
2.59499999999997,-43.5849121378278
2.59999999999997,-43.5734854931166
2.60499999999997,-43.5466408336123
2.60999999999997,-43.5044611784391
2.61499999999997,-43.4470768690822
2.61999999999997,-43.374665030692
2.62499999999997,-43.2874488417298
2.62999999999997,-43.1856966165201
2.63499999999997,-43.0697207064369
2.63999999999997,-42.9398762265678
2.64499999999997,-42.7965596157602
2.64999999999997,-42.6402070389597
2.65499999999997,-42.471292641681
2.65999999999997,-42.2903266673081
2.66499999999997,-42.0978534486894
2.66999999999997,-41.8944492861713
2.67499999999997,-41.6807202247915
2.67999999999997,-41.4572997438262
