"Hole Angular Displacement"
"Time (sec)","Angular Displacement1 (deg)"
0,-1.40380250813712e-14
0.00666666666666667,-2.82426296113848
0.0133333333333333,-5.64926202920585
0.02,-8.47529881223227
0.0266666666666667,-11.30134716005
0.0333333333333333,-14.1273955078677
0.04,-16.955001582307
0.0466666666666667,-19.7844928015688
0.0533333333333333,-22.6133920309206
0.06,-25.4426031158066
0.0666666666666667,-28.2728914348466
0.0733333333333333,-31.1029959895407
0.08,-33.9331005442349
0.0866666666666667,-36.763205098929
0.0933333333333333,-39.5964884076429
0.1,-42.4308213129383
0.106666666666667,-45.2650251622094
0.113333333333333,-48.099218636577
0.12,-50.9336398610712
0.126666666666667,-53.7691356385324
0.133333333333333,-56.6046179412577
0.14,-59.4401002439831
0.146666666666667,-62.278544981615
0.153333333333333,-65.118153644877
0.16,-67.9572047812687
0.166666666666667,-70.7970411632238
0.173333333333333,-73.6375756324709
0.18,-76.4782220353201
0.186666666666667,-79.3191801366082
0.193333333333333,-82.1609748812895
0.2,-85.0040520322643
0.206666666666667,-87.8478434900961
0.213333333333333,-90.691634947928
0.22,-93.5358202934822
0.226666666666666,-96.3817672186849
0.233333333333333,-99.2279877761288
0.24,-102.075021491214
0.246666666666666,-104.922055637129
0.253333333333333,-107.769052601896
0.26,-110.618259811457
0.266666666666666,-113.468567873995
0.273333333333333,-116.319030245349
0.28,-119.169045032197
0.286666666666666,-122.018980698505
0.293333333333333,-124.868916364813
0.3,-127.718852031121
0.306666666666666,-130.571406791773
0.313333333333333,-133.426217822176
0.32,-136.281667516402
0.326666666666666,-139.137726459235
0.333333333333333,-141.993962203052
0.34,-144.849704951265
0.346666666666666,-147.70547881996
0.353333333333333,-150.561252688655
0.36,-153.420346276739
0.366666666666666,-156.280008505829
0.373333333333333,-159.139896977986
0.38,-161.999345368044
0.386666666666666,-164.860241488694
0.393333333333333,-167.721909983826
0.4,-170.584007912767
0.406666666666666,-173.447332308785
0.413333333333333,-176.311209090549
0.419999999999999,-179.175089224293
0.426666666666666,177.961031198398
0.433333333333333,175.097151279901
0.439999999999999,172.233270896253
0.446666666666666,169.367895007998
0.453333333333333,166.500743314044
0.459999999999999,163.633508382399
0.466666666666666,160.765751630654
0.473333333333333,157.897109356834
0.479999999999999,155.028081306203
0.486666666666666,152.158090933466
0.493333333333333,149.286444952339
0.499999999999999,146.415089036164
0.506666666666666,143.543502237661
0.513333333333333,140.671275679263
0.519999999999999,137.798168216232
0.526666666666666,134.924724621538
0.533333333333333,132.050014504835
0.54,129.173982439808
0.546666666666666,126.298640633117
0.553333333333333,123.422299490371
0.56,120.545781062552
0.566666666666666,117.667678004233
0.573333333333333,114.788571640782
0.58,111.910064917591
0.586666666666667,109.03059247284
0.593333333333333,106.15076565646
0.6,103.269234152584
0.606666666666667,100.386986310902
0.613333333333333,97.5048059981318
0.62,94.6225812974321
0.626666666666667,91.7395355538655
0.633333333333334,88.8556986908163
0.64,85.9717322182501
0.646666666666667,83.0877657456839
0.653333333333334,80.201147473156
0.66,77.3142110872299
0.666666666666667,74.4270088759809
0.673333333333334,71.5396800817697
0.68,68.651439332182
0.686666666666667,65.7624834642954
0.693333333333334,62.8723234797038
0.700000000000001,59.9810749584799
0.706666666666667,57.0894316695579
0.713333333333334,54.1982173702272
0.720000000000001,51.3064896235245
0.726666666666667,48.4139725101643
0.733333333333334,45.5207177663871
0.740000000000001,42.6272046632532
0.746666666666668,39.7329238091777
0.753333333333334,36.837641124547
0.760000000000001,33.9420977671747
0.766666666666668,31.0465419454622
0.773333333333334,28.1495177438404
0.780000000000001,25.2515083769346
0.786666666666668,22.3531005727434
0.793333333333335,19.453414579962
0.800000000000001,16.5524945096714
0.806666666666668,13.6513164032141
0.813333333333335,10.750109219642
0.820000000000001,7.8489485937775
0.826666666666668,4.94702205789799
0.833333333333335,2.04419932783664
0.840000000000002,-0.859328688512761
0.846666666666668,-3.76350896032104
0.853333333333335,-6.66804186136947
0.860000000000002,-9.57283866111272
0.866666666666668,-12.4785225883368
0.873333333333335,-15.3840963687542
0.880000000000002,-18.2924611850175
0.886666666666668,-21.2012386749434
0.893333333333335,-24.11012617772
0.900000000000002,-27.0191939652662
0.906666666666669,-29.9287831407633
0.913333333333335,-32.838855177626
0.920000000000002,-35.749548417784
0.926666666666669,-38.6608653209858
0.933333333333335,-41.5728093623473
0.940000000000002,-44.4853070606652
0.946666666666669,-47.3977844381991
0.953333333333336,-50.3118100257164
0.960000000000002,-53.2278843040513
0.966666666666669,-56.1437524728929
0.973333333333336,-59.0596966237877
0.980000000000002,-61.9762013388874
0.986666666666669,-64.8932236860848
0.993333333333336,-67.8108743597763
1,-70.7291552925329
1.00666666666667,-73.6480574040044
1.01333333333334,-76.5675428162129
1.02,-79.4879435495404
1.02666666666667,-82.4090686684199
1.03333333333334,-85.3301858989307
1.04,-88.2524395483354
1.04666666666667,-91.175468978122
1.05333333333334,-94.098817961165
1.06,-97.0223624994154
1.06666666666667,-99.9471413324118
1.07333333333334,-102.871726757312
1.08,-105.798390768208
1.08666666666667,-108.726369798101
1.09333333333333,-111.654595898381
1.1,-114.582832728288
1.10666666666667,-117.511459223538
1.11333333333333,-120.440558066024
1.12,-123.370183928711
1.12666666666667,-126.300440967452
1.13333333333333,-129.231334944109
1.14,-132.162829501321
1.14666666666667,-135.095083834153
1.15333333333333,-138.028343635392
1.16,-140.961580124384
1.16666666666667,-143.895631093012
1.17333333333333,-146.830639221974
1.18,-149.766111213941
1.18666666666667,-152.702055995545
1.19333333333333,-155.63862667201
