"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0,-37.9234505138248
0.00666666666666667,-38.1948439330586
0.0133333333333333,-38.4664327397586
0.02,-38.7375769424803
0.0266666666666667,-39.0075040867522
0.0333333333333333,-39.2755367314812
0.04,-39.5411433285225
0.0466666666666667,-39.8036722594422
0.0533333333333333,-40.0622166841384
0.06,-40.3161899824245
0.0666666666666667,-40.5649943397342
0.0733333333333333,-40.8078623292466
0.08,-41.0441674365107
0.0866666666666667,-41.2732801463427
0.0933333333333333,-41.4948302863501
0.1,-41.7080349766025
0.106666666666667,-41.912221757824
0.113333333333333,-42.1068416473763
0.12,-42.2913751121582
0.126666666666667,-42.465360516979
0.133333333333333,-42.6282423818023
0.14,-42.7795676990882
0.146666666666667,-42.9190523961523
0.153333333333333,-43.046189466461
0.16,-43.1605390428274
0.166666666666667,-43.2618298097629
0.173333333333333,-43.3497607092668
0.18,-43.4240575454093
0.186666666666667,-43.4845105263876
0.193333333333333,-43.5309495972517
0.2,-43.5632333167701
0.206666666666667,-43.5812476929139
0.213333333333333,-43.58493111118
0.22,-43.5742705257022
0.226666666666666,-43.5492751597854
0.233333333333333,-43.510014565405
0.24,-43.4565859852636
0.246666666666666,-43.3891520168023
0.253333333333333,-43.3079071938446
0.26,-43.2130044816733
0.266666666666666,-43.1047288075511
0.273333333333333,-42.9834166333798
0.28,-42.8494411518719
0.286666666666666,-42.7031690488987
0.293333333333333,-42.5450107936921
0.3,-42.3754124166052
0.306666666666666,-42.1946794951693
0.313333333333333,-42.0033138960812
0.32,-41.8019428059204
0.326666666666666,-41.5911220277118
0.333333333333333,-41.371463190979
0.34,-41.1436238307834
0.346666666666666,-40.9081876118981
0.353333333333333,-40.6657972983701
0.36,-40.4168154373938
0.366666666666666,-40.1621386653124
0.373333333333333,-39.9024759828526
0.38,-39.6385775025577
0.386666666666666,-39.3709625250828
0.393333333333333,-39.1003904928264
0.4,-38.8275948932726
0.406666666666666,-38.5532013848925
0.413333333333333,-38.2779751949643
0.419999999999999,-38.0026671153675
0.426666666666666,-37.7279699986787
0.433333333333333,-37.4545686340577
0.439999999999999,-37.1831385860945
0.446666666666666,-36.9142050023755
0.453333333333333,-36.6483999627142
0.459999999999999,-36.3865240100342
0.466666666666666,-36.1291638256666
0.473333333333333,-35.8768995086477
0.479999999999999,-35.6303704211692
0.486666666666666,-35.390104711001
0.493333333333333,-35.1566075755113
0.499999999999999,-34.9305761488489
0.506666666666666,-34.7124817316341
0.513333333333333,-34.502787310335
0.519999999999999,-34.3019497756925
0.526666666666666,-34.1104573068787
0.533333333333333,-33.9286764673464
0.54,-33.7570136080287
0.546666666666666,-33.5959638293765
0.553333333333333,-33.4457806861331
0.56,-33.306834740085
0.566666666666666,-33.1793637341125
0.573333333333333,-33.0636785590662
0.58,-32.9600893732905
0.586666666666667,-32.8687590739236
0.593333333333333,-32.7899059400799
0.6,-32.7236703693288
0.606666666666667,-32.6702283773159
0.613333333333333,-32.6297093430772
0.62,-32.6021951615986
0.626666666666667,-32.5877409991564
0.633333333333334,-32.5863877485775
0.64,-32.5981447823681
0.646666666666667,-32.6229882271262
0.653333333333334,-32.6609076478753
0.66,-32.7118140702626
0.666666666666667,-32.7756049145193
0.673333333333334,-32.852147044923
0.68,-32.9413083437779
0.686666666666667,-33.0429064332048
0.693333333333334,-33.1567567647664
0.700000000000001,-33.2826280448364
0.706666666666667,-33.4202310316391
0.713333333333334,-33.5692314044779
0.720000000000001,-33.7293567621452
0.726666666666667,-33.9002819493047
0.733333333333334,-34.0816382113083
0.740000000000001,-34.2730007728041
0.746666666666668,-34.4739829379629
0.753333333333334,-34.6841587399161
0.760000000000001,-34.9030046777943
0.766666666666668,-35.1300036128254
0.773333333333334,-35.3647526514619
0.780000000000001,-35.6066760283198
0.786666666666668,-35.8551614920846
0.793333333333335,-36.1097004362487
0.800000000000001,-36.3696865614663
0.806666666666668,-36.6344073092071
0.813333333333335,-36.9031957115682
0.820000000000001,-37.1753818442015
0.826666666666668,-37.4503653248416
0.833333333333335,-37.7274692762488
0.840000000000002,-38.0059735019085
0.846666666666668,-38.2851598584723
0.853333333333335,-38.5642775054837
0.860000000000002,-38.8425891668017
0.866666666666668,-39.1194207280565
0.873333333333335,-39.3939410041962
0.880000000000002,-39.665684107969
0.886666666666668,-39.9336875047623
0.893333333333335,-40.1971911863876
0.900000000000002,-40.4554764624943
0.906666666666669,-40.7078562641933
0.913333333333335,-40.9536199396875
0.920000000000002,-41.1920846905332
0.926666666666669,-41.4225712096799
0.933333333333335,-41.6444180744596
0.940000000000002,-41.8569785357005
0.946666666666669,-42.0595954886322
0.953333333333336,-42.2517825672707
0.960000000000002,-42.4329924418195
0.966666666666669,-42.6025432741056
0.973333333333336,-42.7599529600216
0.980000000000002,-42.9047781712093
0.986666666666669,-43.0365798124469
0.993333333333336,-43.1549624440134
1,-43.2595634948945
1.00666666666667,-43.3500600696118
1.01333333333334,-43.4261701371031
1.02,-43.4876618296029
1.02666666666667,-43.534333051686
1.03333333333334,-43.5660254859014
1.04,-43.5826468514975
1.04666666666667,-43.5841298907708
1.05333333333334,-43.5704613645676
1.06,-43.5416793242619
1.06666666666667,-43.4978498216966
1.07333333333334,-43.4391191311609
1.08,-43.3656053572706
1.08666666666667,-43.2775248365269
1.09333333333333,-43.1751645951688
1.1,-43.0588401098722
1.10666666666667,-42.9288839351465
1.11333333333333,-42.7856769141196
1.12,-42.6296387105696
1.12666666666667,-42.4612222713649
1.13333333333333,-42.2809205685336
