"Hole Angular Displacement"
"Time (sec)","Angular Displacement1 (deg)"
0,-1.40380250813712e-14
0.00666666666666667,-2.82400000000001
0.0133333333333333,-5.64800000000001
0.02,-8.47200000000001
0.0266666666666667,-11.296
0.0333333333333333,-14.12
0.04,-16.944
0.0466666666666667,-19.768
0.0533333333333333,-22.592
0.06,-25.416
0.0666666666666667,-28.24
0.0733333333333333,-31.064
0.08,-33.888
0.0866666666666667,-36.712
0.0933333333333333,-39.536
0.1,-42.36
0.106666666666667,-45.184
0.113333333333333,-48.008
0.12,-50.832
0.126666666666667,-53.656
0.133333333333333,-56.48
0.14,-59.304
0.146666666666667,-62.128
0.153333333333333,-64.952
0.16,-67.776
0.166666666666667,-70.6
0.173333333333333,-73.424
0.18,-76.248
0.186666666666667,-79.072
0.193333333333333,-81.896
0.2,-84.72
0.206666666666667,-87.544
0.213333333333333,-90.3680000000001
0.22,-93.192
0.226666666666666,-96.0160000000001
0.233333333333333,-98.8400000000001
0.24,-101.664
0.246666666666666,-104.488
0.253333333333333,-107.312
0.26,-110.136
0.266666666666666,-112.96
0.273333333333333,-115.784
0.28,-118.608
0.286666666666666,-121.432
0.293333333333333,-124.256
0.3,-127.08
0.306666666666666,-129.904
0.313333333333333,-132.728
0.32,-135.552
0.326666666666666,-138.376
0.333333333333333,-141.2
0.34,-144.024
0.346666666666666,-146.848
0.353333333333333,-149.672
0.36,-152.496
0.366666666666666,-155.32
0.373333333333333,-158.144
0.38,-160.968
0.386666666666666,-163.792
0.393333333333333,-166.616
0.4,-169.44
0.406666666666666,-172.264
0.413333333333333,-175.088
0.419999999999999,-177.912
0.426666666666666,179.264
0.433333333333333,176.44
0.439999999999999,173.616
0.446666666666666,170.792
0.453333333333333,167.968
0.459999999999999,165.144
0.466666666666666,162.32
0.473333333333333,159.496
0.479999999999999,156.672
0.486666666666666,153.848
0.493333333333333,151.024
0.499999999999999,148.2
0.506666666666666,145.376
0.513333333333333,142.552
0.519999999999999,139.728
0.526666666666666,136.904
0.533333333333333,134.08
0.54,131.256
0.546666666666666,128.432
0.553333333333333,125.608
0.56,122.784
0.566666666666666,119.96
0.573333333333333,117.136
0.58,114.312
0.586666666666667,111.488
0.593333333333333,108.664
0.6,105.84
0.606666666666667,103.016
0.613333333333333,100.192
0.62,97.368
0.626666666666667,94.544
0.633333333333334,91.72
0.64,88.896
0.646666666666667,86.072
0.653333333333334,83.2479999999999
0.66,80.4239999999999
0.666666666666667,77.5999999999999
0.673333333333334,74.7759999999999
0.68,71.9519999999999
0.686666666666667,69.1279999999999
0.693333333333334,66.3039999999998
0.700000000000001,63.4799999999998
0.706666666666667,60.6559999999998
0.713333333333334,57.8319999999998
0.720000000000001,55.0079999999998
0.726666666666667,52.1839999999998
0.733333333333334,49.3599999999997
0.740000000000001,46.5359999999997
0.746666666666668,43.7119999999997
0.753333333333334,40.8879999999997
0.760000000000001,38.0639999999997
0.766666666666668,35.2399999999996
0.773333333333334,32.4159999999996
0.780000000000001,29.5919999999996
0.786666666666668,26.7679999999996
0.793333333333335,23.9439999999996
0.800000000000001,21.1199999999996
0.806666666666668,18.2959999999995
0.813333333333335,15.4719999999995
0.820000000000001,12.6479999999995
0.826666666666668,9.82399999999949
0.833333333333335,6.99999999999948
0.840000000000002,4.17599999999946
0.846666666666668,1.35199999999944
0.853333333333335,-1.47200000000058
0.860000000000002,-4.2960000000006
0.866666666666668,-7.12000000000061
0.873333333333335,-9.94400000000063
0.880000000000002,-12.7680000000006
0.886666666666668,-15.5920000000007
0.893333333333335,-18.4160000000007
0.900000000000002,-21.2400000000007
0.906666666666669,-24.0640000000007
0.913333333333335,-26.8880000000007
0.920000000000002,-29.7120000000007
0.926666666666669,-32.5360000000008
0.933333333333335,-35.3600000000008
0.940000000000002,-38.1840000000008
0.946666666666669,-41.0080000000008
0.953333333333336,-43.8320000000008
0.960000000000002,-46.6560000000009
0.966666666666669,-49.4800000000009
0.973333333333336,-52.3040000000009
0.980000000000002,-55.1280000000009
0.986666666666669,-57.9520000000009
0.993333333333336,-60.7760000000009
1,-63.600000000001
1.00666666666667,-66.424000000001
1.01333333333334,-69.248000000001
1.02,-72.072000000001
1.02666666666667,-74.896000000001
1.03333333333334,-77.7200000000011
1.04,-80.5440000000011
1.04666666666667,-83.3680000000011
1.05333333333334,-86.1920000000011
1.06,-89.0160000000011
1.06666666666667,-91.8400000000011
1.07333333333334,-94.6640000000005
1.08,-97.4880000000006
1.08666666666667,-100.312000000001
1.09333333333333,-103.136000000001
1.1,-105.960000000001
1.10666666666667,-108.784
1.11333333333333,-111.608
1.12,-114.432
1.12666666666667,-117.256
1.13333333333333,-120.08
1.14,-122.904
1.14666666666667,-125.728
1.15333333333333,-128.552
1.16,-131.376
1.16666666666667,-134.2
1.17333333333333,-137.024
1.18,-139.848
1.18666666666667,-142.672
1.19333333333333,-145.496
1.2,-148.32
1.20666666666667,-151.144
1.21333333333333,-153.968
1.22,-156.792
1.22666666666667,-159.616
1.23333333333333,-162.44
1.24,-165.264
1.24666666666667,-168.088
1.25333333333333,-170.912
1.26,-173.736
1.26666666666667,-176.56
1.27333333333333,-179.384
1.28,177.792
1.28666666666667,174.968
1.29333333333333,172.144
1.3,169.32
1.30666666666667,166.496
1.31333333333333,163.672000000001
1.32,160.848000000001
1.32666666666667,158.024000000001
1.33333333333333,155.200000000001
1.34,152.376000000001
1.34666666666667,149.552000000001
1.35333333333333,146.728000000001
1.36,143.904000000001
1.36666666666667,141.080000000001
1.37333333333333,138.256000000001
1.38,135.432000000001
1.38666666666667,132.608000000001
1.39333333333333,129.784000000001
1.4,126.960000000001
1.40666666666666,124.136000000001
1.41333333333333,121.312000000001
1.42,118.488000000001
1.42666666666666,115.664000000001
1.43333333333333,112.840000000001
1.44,110.016000000001
1.44666666666666,107.192000000001
1.45333333333333,104.368000000001
1.46,101.544000000001
1.46666666666666,98.7200000000013
1.47333333333333,95.8960000000013
1.48,93.0720000000014
1.48666666666666,90.2480000000014
1.49333333333333,87.4240000000014
1.5,84.6000000000015
1.50666666666666,81.7760000000015
1.51333333333333,78.9520000000015
1.52,76.1280000000016
1.52666666666666,73.3040000000016
1.53333333333333,70.4800000000016
1.54,67.6560000000017
1.54666666666666,64.8320000000017
1.55333333333333,62.0080000000017
1.56,59.1840000000018
1.56666666666666,56.3600000000018
1.57333333333333,53.5360000000018
1.58,50.7120000000019
1.58666666666666,47.8880000000019
1.59333333333333,45.0640000000019
1.6,42.240000000002
1.60666666666666,39.416000000002
1.61333333333333,36.592000000002
1.62,33.7680000000021
1.62666666666666,30.9440000000021
1.63333333333333,28.1200000000021
1.64,25.2960000000022
1.64666666666666,22.4720000000022
1.65333333333333,19.6480000000022
1.66,16.8240000000023
1.66666666666666,14.0000000000023
1.67333333333333,11.1760000000023
1.68,8.35200000000238
1.68666666666666,5.52800000000241
1.69333333333333,2.70400000000244
1.7,-0.119999999997522
1.70666666666666,-2.94399999999749
1.71333333333333,-5.76799999999746
1.72,-8.59199999999742
1.72666666666666,-11.4159999999974
1.73333333333333,-14.2399999999974
1.73999999999999,-17.0639999999973
1.74666666666666,-19.8879999999973
1.75333333333333,-22.7119999999973
1.75999999999999,-25.5359999999972
1.76666666666666,-28.3599999999972
1.77333333333333,-31.1839999999972
1.77999999999999,-34.0079999999971
1.78666666666666,-36.8319999999971
1.79333333333333,-39.6559999999971
1.79999999999999,-42.479999999997
1.80666666666666,-45.303999999997
1.81333333333333,-48.1279999999969
1.81999999999999,-50.9519999999969
1.82666666666666,-53.7759999999969
1.83333333333333,-56.5999999999968
1.83999999999999,-59.4239999999968
1.84666666666666,-62.2479999999968
1.85333333333333,-65.0719999999967
1.85999999999999,-67.8959999999967
1.86666666666666,-70.7199999999967
1.87333333333333,-73.5439999999967
1.87999999999999,-76.3679999999966
1.88666666666666,-79.1919999999966
1.89333333333333,-82.0159999999966
1.89999999999999,-84.8399999999965
1.90666666666666,-87.6639999999965
1.91333333333333,-90.4879999999964
1.91999999999999,-93.3119999999964
1.92666666666666,-96.1359999999964
1.93333333333333,-98.9599999999964
1.93999999999999,-101.783999999996
1.94666666666666,-104.607999999996
1.95333333333333,-107.431999999996
1.95999999999999,-110.255999999996
1.96666666666666,-113.079999999996
1.97333333333333,-115.903999999996
1.97999999999999,-118.727999999996
1.98666666666666,-121.551999999996
1.99333333333333,-124.375999999996
1.99999999999999,-127.199999999996
2.00666666666666,-130.023999999996
2.01333333333333,-132.847999999996
2.01999999999999,-135.671999999996
2.02666666666666,-138.495999999996
2.03333333333333,-141.319999999996
2.03999999999999,-144.143999999996
2.04666666666666,-146.967999999996
2.05333333333333,-149.791999999996
2.05999999999999,-152.615999999996
2.06666666666666,-155.439999999996
2.07333333333333,-158.263999999997
2.07999999999999,-161.087999999997
2.08666666666666,-163.911999999997
2.09333333333333,-166.735999999997
2.09999999999999,-169.559999999997
2.10666666666666,-172.383999999998
2.11333333333333,-175.207999999997
2.11999999999999,-178.031999999997
2.12666666666666,179.144000000003
2.13333333333333,176.320000000002
2.14,173.496000000003
2.14666666666666,170.672000000003
2.15333333333333,167.848000000002
2.16,165.024000000003
2.16666666666666,162.200000000003
2.17333333333333,159.376000000003
2.18,156.552000000002
2.18666666666666,153.728000000002
2.19333333333333,150.904000000002
2.2,148.080000000002
2.20666666666666,145.256000000002
2.21333333333333,142.432000000002
2.22,139.608000000002
2.22666666666666,136.784000000002
2.23333333333333,133.960000000002
2.24,131.136000000002
2.24666666666666,128.312000000002
2.25333333333333,125.488000000002
2.26,122.664000000002
2.26666666666666,119.840000000002
2.27333333333333,117.016000000001
2.28,114.192000000001
2.28666666666667,111.368000000001
2.29333333333333,108.544000000001
2.3,105.720000000001
2.30666666666667,102.896000000001
2.31333333333333,100.072000000001
2.32,97.248000000001
2.32666666666667,94.4240000000009
2.33333333333333,91.6000000000008
2.34,88.7760000000008
2.34666666666667,85.9520000000007
2.35333333333333,83.1280000000006
2.36,80.3040000000006
2.36666666666667,77.4800000000005
2.37333333333333,74.6560000000004
2.38,71.8320000000004
2.38666666666667,69.0080000000003
2.39333333333333,66.1840000000002
2.4,63.3600000000002
2.40666666666667,60.5360000000001
2.41333333333333,57.712
2.42,54.888
2.42666666666667,52.0639999999999
2.43333333333334,49.2399999999998
2.44,46.4159999999997
2.44666666666667,43.5919999999997
2.45333333333334,40.7679999999996
2.46,37.9439999999996
2.46666666666667,35.1199999999995
2.47333333333334,32.2959999999994
2.48,29.4719999999994
2.48666666666667,26.6479999999993
2.49333333333334,23.8239999999992
2.5,20.9999999999991
2.50666666666667,18.1759999999991
2.51333333333334,15.351999999999
2.52,12.5279999999989
2.52666666666667,9.70399999999887
2.53333333333334,6.8799999999988
2.54,4.05599999999873
2.54666666666667,1.23199999999866
2.55333333333334,-1.59200000000141
2.56,-4.41600000000147
2.56666666666667,-7.24000000000154
2.57333333333334,-10.0640000000016
2.58000000000001,-12.8880000000017
2.58666666666667,-15.7120000000017
2.59333333333334,-18.5360000000018
2.60000000000001,-21.3600000000019
2.60666666666667,-24.184000000002
2.61333333333334,-27.008000000002
2.62000000000001,-29.8320000000021
2.62666666666667,-32.6560000000022
2.63333333333334,-35.4800000000022
2.64000000000001,-38.3040000000023
2.64666666666667,-41.1280000000024
2.65333333333334,-43.9520000000024
2.66000000000001,-46.7760000000025
2.66666666666667,-49.6000000000026
2.67333333333334,-52.4240000000026
2.68000000000001,-55.2480000000027
2.68666666666667,-58.0720000000028
2.69333333333334,-60.8960000000028
2.70000000000001,-63.7200000000029
2.70666666666667,-66.544000000003
2.71333333333334,-69.3680000000031
2.72000000000001,-72.1920000000031
2.72666666666668,-75.0160000000032
2.73333333333334,-77.8400000000033
2.74000000000001,-80.6640000000033
2.74666666666668,-83.4880000000034
2.75333333333334,-86.3120000000035
2.76000000000001,-89.1360000000035
2.76666666666668,-91.9600000000036
2.77333333333334,-94.7840000000037
2.78000000000001,-97.6080000000037
2.78666666666668,-100.432000000004
2.79333333333334,-103.256000000004
2.80000000000001,-106.080000000004
2.80666666666668,-108.904000000004
2.81333333333334,-111.728000000004
2.82000000000001,-114.552000000004
2.82666666666668,-117.376000000004
2.83333333333334,-120.200000000004
2.84000000000001,-123.024000000004
2.84666666666668,-125.848000000004
2.85333333333335,-128.672000000004
2.86000000000001,-131.496000000005
2.86666666666668,-134.320000000005
2.87333333333335,-137.144000000005
2.88000000000001,-139.968000000005
2.88666666666668,-142.792000000005
2.89333333333335,-145.616000000005
2.90000000000001,-148.440000000005
2.90666666666668,-151.264000000005
2.91333333333335,-154.088000000005
2.92000000000001,-156.912000000005
2.92666666666668,-159.736000000005
2.93333333333335,-162.560000000005
2.94000000000001,-165.384000000005
2.94666666666668,-168.208000000005
2.95333333333335,-171.032000000005
2.96000000000001,-173.856000000006
2.96666666666668,-176.680000000006
2.97333333333335,-179.504000000006
2.98000000000001,177.671999999994
2.98666666666668,174.847999999994
2.99333333333335,172.023999999994
3.00000000000002,169.199999999994
3.00666666666668,166.375999999994
3.01333333333335,163.551999999994
3.02000000000002,160.727999999994
3.02666666666668,157.903999999994
3.03333333333335,155.079999999994
3.04000000000002,152.255999999994
3.04666666666668,149.431999999994
3.05333333333335,146.607999999993
3.06000000000002,143.783999999993
3.06666666666668,140.959999999993
3.07333333333335,138.135999999993
3.08000000000002,135.311999999993
3.08666666666668,132.487999999993
3.09333333333335,129.663999999994
3.10000000000002,126.839999999994
3.10666666666668,124.015999999994
3.11333333333335,121.191999999993
3.12000000000002,118.367999999993
3.12666666666668,115.543999999993
3.13333333333335,112.719999999993
3.14000000000002,109.895999999993
3.14666666666669,107.071999999993
3.15333333333335,104.247999999993
3.16000000000002,101.423999999993
3.16666666666669,98.5999999999929
3.17333333333335,95.7759999999928
3.18000000000002,92.9519999999928
3.18666666666669,90.1279999999927
3.19333333333335,87.3039999999926
3.20000000000002,84.4799999999925
3.20666666666669,81.6559999999925
3.21333333333335,78.8319999999924
3.22000000000002,76.0079999999923
3.22666666666669,73.1839999999923
3.23333333333335,70.3599999999922
3.24000000000002,67.5359999999921
3.24666666666669,64.7119999999921
3.25333333333335,61.887999999992
3.26000000000002,59.0639999999919
3.26666666666669,56.2399999999919
3.27333333333335,53.4159999999918
3.28000000000002,50.5919999999917
3.28666666666669,47.7679999999917
3.29333333333336,44.9439999999916
3.30000000000002,42.1199999999915
3.30666666666669,39.2959999999915
3.31333333333336,36.4719999999914
3.32000000000002,33.6479999999913
3.32666666666669,30.8239999999913
3.33333333333336,27.9999999999912
3.34000000000002,25.1759999999911
3.34666666666669,22.3519999999911
3.35333333333336,19.527999999991
3.36000000000002,16.7039999999909
3.36666666666669,13.8799999999908
3.37333333333336,11.0559999999908
3.38000000000002,8.23199999999071
3.38666666666669,5.40799999999064
3.39333333333336,2.58399999999057
3.40000000000002,-0.240000000009496
3.40666666666669,-3.06400000000956
3.41333333333336,-5.88800000000963
3.42000000000002,-8.7120000000097
3.42666666666669,-11.5360000000098
3.43333333333336,-14.3600000000098
3.44000000000003,-17.1840000000099
3.44666666666669,-20.00800000001
3.45333333333336,-22.83200000001
3.46000000000003,-25.6560000000101
3.46666666666669,-28.4800000000102
3.47333333333336,-31.3040000000102
3.48000000000003,-34.1280000000103
3.48666666666669,-36.9520000000104
3.49333333333336,-39.7760000000105
3.50000000000003,-42.6000000000105
3.50666666666669,-45.4240000000106
3.51333333333336,-48.2480000000107
3.52000000000003,-51.0720000000107
3.52666666666669,-53.8960000000108
3.53333333333336,-56.7200000000109
3.54000000000003,-59.5440000000109
3.54666666666669,-62.368000000011
3.55333333333336,-65.1920000000111
3.56000000000003,-68.0160000000111
3.56666666666669,-70.8400000000112
3.57333333333336,-73.6640000000113
3.58000000000003,-76.4880000000113
3.5866666666667,-79.3120000000114
3.59333333333336,-82.1360000000115
3.60000000000003,-84.9600000000115
3.6066666666667,-87.7840000000116
3.61333333333336,-90.6080000000117
3.62000000000003,-93.4320000000118
3.6266666666667,-96.2560000000118
3.63333333333336,-99.0800000000119
3.64000000000003,-101.904000000012
3.6466666666667,-104.728000000012
3.65333333333336,-107.552000000012
3.66000000000003,-110.376000000012
3.6666666666667,-113.200000000012
3.67333333333336,-116.024000000012
3.68000000000003,-118.848000000012
3.6866666666667,-121.672000000012
3.69333333333336,-124.496000000012
3.70000000000003,-127.320000000013
3.7066666666667,-130.144000000013
3.71333333333336,-132.968000000013
3.72000000000003,-135.792000000013
3.7266666666667,-138.616000000013
3.73333333333337,-141.440000000013
3.74000000000003,-144.264000000013
3.7466666666667,-147.088000000013
3.75333333333337,-149.912000000013
3.76000000000003,-152.736000000013
3.7666666666667,-155.560000000013
3.77333333333337,-158.384000000013
3.78000000000003,-161.208000000013
3.7866666666667,-164.032000000013
3.79333333333337,-166.856000000014
3.80000000000003,-169.680000000014
3.8066666666667,-172.504000000014
3.81333333333337,-175.328000000014
3.82000000000003,-178.152000000014
3.8266666666667,179.023999999986
3.83333333333337,176.199999999986
3.84000000000003,173.375999999986
3.8466666666667,170.551999999986
3.85333333333337,167.727999999986
3.86000000000003,164.903999999986
3.8666666666667,162.079999999986
3.87333333333337,159.255999999986
3.88000000000004,156.431999999986
3.8866666666667,153.607999999986
3.89333333333337,150.783999999985
3.90000000000004,147.959999999985
3.9066666666667,145.135999999985
3.91333333333337,142.311999999985
3.92000000000004,139.487999999985
3.9266666666667,136.663999999985
3.93333333333337,133.839999999985
3.94000000000004,131.015999999985
3.9466666666667,128.191999999985
3.95333333333337,125.367999999985
3.96000000000004,122.543999999985
3.9666666666667,119.719999999985
3.97333333333337,116.895999999985
3.98000000000004,114.071999999985
3.9866666666667,111.247999999985
3.99333333333337,108.423999999985
4.00000000000004,105.599999999985
4.00666666666671,102.775999999985
4.01333333333337,99.9519999999848
4.02000000000004,97.1279999999847
4.02666666666671,94.3039999999847
4.03333333333337,91.4799999999846
4.04000000000004,88.6559999999845
4.04666666666671,85.8319999999845
4.05333333333337,83.0079999999844
4.06000000000004,80.1839999999843
4.06666666666671,77.3599999999843
4.07333333333337,74.5359999999842
4.08000000000004,71.7119999999841
4.08666666666671,68.887999999984
4.09333333333337,66.063999999984
4.10000000000004,63.2399999999839
4.10666666666671,60.4159999999838
4.11333333333337,57.5919999999838
4.12000000000004,54.7679999999837
4.12666666666671,51.9439999999836
4.13333333333337,49.1199999999836
4.14000000000004,46.2959999999835
4.14666666666671,43.4719999999834
4.15333333333338,40.6479999999834
4.16000000000004,37.8239999999827
4.16666666666671,34.9999999999826
4.17333333333338,32.1759999999826
4.18000000000004,29.3519999999825
4.18666666666671,26.5279999999824
4.19333333333338,23.7039999999823
4.20000000000004,20.8799999999823
4.20666666666671,18.0559999999822
