"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0.364,-32.8401352525092
0.368,-32.7679057997379
0.372,-32.7075440204569
0.376,-32.6591666136551
0.38,-32.6228668753849
0.384,-32.5987146734001
0.388,-32.5867564296544
0.392,-32.5870151094123
0.396,-32.599490216011
0.4,-32.6241577910211
0.404,-32.6609704196406
0.408,-32.7098572418718
0.412,-32.7707239703225
0.416,-32.8434529159347
0.42,-32.9279030233496
0.424,-33.0239099180074
0.428,-33.1312859674527
0.432,-33.2498203596593
0.436,-33.3792792015037
0.44,-33.5194056407963
0.444,-33.669920015521
0.448,-33.8305200341392
0.452,-34.0008809909656
0.456,-34.1806560207359
0.46,-34.3694763965433
0.464,-34.566951875327
0.468,-34.7726710950443
0.472,-34.9862020275542
0.476,-35.2070924910782
0.48,-35.4348707258807
0.484,-35.6690460365383
0.488,-35.9091095038314
0.492,-36.1545347689082
0.496,-36.4047788919281
0.5,-36.6592832869116
0.504,-36.9174747339857
0.508,-37.1787664696507
0.512,-37.4425593550821
0.516,-37.7082431218551
0.52,-37.9751976938156
0.524,-38.242794583155
0.528,-38.5103983580644
0.532,-38.7773681786611
0.536,-39.043059397204
0.54,-39.3068252179547
0.544,-39.5680184113965
0.548,-39.8259930769123
0.552,-40.0801064474404
0.556,-40.329720729092
0.56,-40.5742049682219
0.564,-40.8129369380052
0.568,-41.0453050361904
0.572,-41.2707101853798
0.576,-41.4885677269324
0.58,-41.6983092993931
0.584,-41.8993846922321
0.588,-42.0912636656295
0.592,-42.2734377270574
0.596,-42.4454218555015
0.6,-42.6067561643224
0.604,-42.7570074939826
0.608,-42.8957709261551
0.612,-43.0226712110802
0.616,-43.1373641004522
0.62,-43.2395375785815
0.624,-43.3289129850978
0.628,-43.4052460230273
0.632,-43.4683276466836
0.636,-43.5179848244621
0.64,-43.5540811723077
0.644,-43.5765174543361
0.648,-43.5852319478224
0.652,-43.5802006705237
0.656,-43.5614374690683
0.66,-43.5289939679181
0.664,-43.4829593791895
0.668,-43.4234601743918
0.672,-43.3506596199154
0.676,-43.2647571788524
0.68,-43.1659877824776
0.684,-43.0546209754297
0.688000000000001,-42.9309599393272
0.692000000000001,-42.7953404002052
0.696000000000001,-42.648129425783
0.700000000000001,-42.4897241191501
0.704000000000001,-42.3205502159896
0.708000000000001,-42.1410605929379
0.712000000000001,-41.9517336951097
0.716000000000001,-41.7530718911839
0.720000000000001,-41.5455997647515
0.724000000000001,-41.3298623508747
0.728000000000001,-41.1064233269763
0.732000000000001,-40.8758631672905
0.736000000000001,-40.6387772701437
0.740000000000001,-40.3957740673008
0.744000000000001,-40.1474731245109
0.748000000000001,-39.8945032422168
0.752000000000001,-39.6375005651512
0.756000000000001,-39.3771067092423
0.760000000000001,-39.1139669138829
0.764000000000001,-38.8487282271943
0.768000000000001,-38.5820377314397
0.772000000000001,-38.3145408152143
0.776000000000001,-38.0468794984714
0.780000000000001,-37.779690815838
0.784000000000001,-37.5136052630405
0.788000000000001,-37.2492453106003
0.792000000000001,-36.9872239882892
0.796000000000001,-36.7281435431515
0.800000000000001,-36.4725941732201
0.804000000000001,-36.2211528383767
0.808000000000001,-35.9743821491469
0.812000000000001,-35.7328293335808
0.816000000000001,-35.4970252817543
0.820000000000001,-35.2674836668494
0.824000000000001,-35.0447001412264
0.828000000000001,-34.8291516054057
0.832000000000001,-34.6212955474205
0.836000000000001,-34.4215694496084
0.840000000000001,-34.2303902595539
0.844000000000001,-34.0481539216083
0.848000000000001,-33.875234965176
0.852000000000001,-33.7119861457759
0.856000000000001,-33.5587381347702
0.860000000000001,-33.4157992535841
0.864000000000001,-33.2834552482336
0.868000000000001,-33.1619691000205
0.872000000000001,-33.051580868353
0.876000000000001,-32.952507561789
0.880000000000001,-32.8649430335949
0.884000000000001,-32.7890578983392
0.888000000000001,-32.7249994663159
0.892000000000001,-32.6728916928943
0.896000000000001,-32.6328351402306
0.900000000000001,-32.604906949141
0.904000000000001,-32.5891608193203
0.908000000000001,-32.5856269964965
0.912000000000001,-32.5943122655326
0.916000000000001,-32.6151999489112
0.920000000000001,-32.6482499104795
0.924000000000001,-32.6933985647618
0.928000000000001,-32.7505588925835
0.932000000000001,-32.8196204641766
0.936000000000001,-32.9004494713465
0.940000000000001,-32.9928887706825
0.944000000000001,-33.0967579401697
0.948000000000001,-33.21185335191
0.952000000000001,-33.3379482639914
0.956000000000001,-33.4747929348266
0.960000000000001,-33.622114763546
0.964000000000001,-33.7796184602377
0.968000000000001,-33.9469862500022
0.972000000000001,-34.1238781149119
0.976000000000001,-34.3099320780401
0.980000000000001,-34.5047645337463
0.984000000000001,-34.7079706283708
0.988000000000001,-34.9191246954074
0.992000000000001,-35.1377807490722
0.996000000000001,-35.3634730399902
1,-35.5957166764577
1.004,-35.8340083144247
1.008,-36.0778269189704
1.012,-36.3266345996259
1.016,-36.5798775214193
1.02,-36.8369868930083
1.024,-37.0973800327023
1.028,-37.3604615125832
1.032,-37.6256243803066
1.036,-37.8922514575175
1.04,-38.1597167131458
1.044,-38.4273867091682
1.048,-38.6946221157411
1.052,-38.9607792919311
1.056,-39.2252119276015
1.06,-39.4872727413651
1.064,-39.7463152288899
1.068,-40.001695455254
1.072,-40.2527738844948
1.076,-40.4989172389909
1.08,-40.7395003808589
1.084,-40.973908207151
1.088,-41.2015375502927
1.092,-41.4217990749312
1.096,-41.6341191621483
1.1,-41.8379417718533
1.104,-42.0327302740965
1.108,-42.2179692400455
1.112,-42.3931661834274
1.116,-42.5578532433845
1.12,-42.7115887998896
1.124,-42.8539590131415
1.128,-42.9845792786912
1.132,-43.1030955904458
1.136,-43.2091858041468
1.14,-43.3025607944197
1.144,-43.3829654990497
1.148,-43.4501798447275
1.152,-43.5040195491527
1.156,-43.5443367950473
1.16,-43.5710207723377
1.164,-43.5839980854904
1.168,-43.583233023729
1.172,-43.5687276926306
1.176,-43.540522006364
1.18,-43.4986935406153
1.184,-43.4433572470195
1.188,-43.3746650306915
1.192,-43.2928051932079
1.196,-43.1980017441391
1.2,-43.0905135849517
1.204,-42.9706335698056
1.208,-42.8386874484306
1.212,-42.6950326969065
1.216,-42.540057242757
1.22,-42.3741780913174
1.224,-42.197839860833
1.228,-42.0115132341881
1.232,-41.8156933355549
1.236,-41.6108980405743
1.24,-41.3976662289503
1.244,-41.1765559885271
1.248,-40.9481427800584
1.252,-40.7130175719282
1.256,-40.4717849540795
1.26,-40.225061240323
1.264,-39.9734725680489
1.268,-39.7176530041495
1.272,-39.458242665672
1.276,-39.1958858633783
1.28,-38.9312292759809
1.284,-38.6649201623613
1.288,-38.3976046185668
1.292,-38.129925885827
1.296,-37.8625227152339
1.3,-37.5960277941049
1.304,-37.3310662383966
1.308,-37.0682541548675
1.312,-36.8081972760109
1.316,-36.5514896700916
1.32,-36.2987125279507
1.324,-36.0504330275685
1.328,-35.8072032767324
